Operator,Parts,Porosity relative difference,IoU_pores,F1 binary_7,IoU_pores_7
user11,img0_300,18.778293866773065,0.8032597697868518,0.7340906446097519,0.3138130590074239
user11,img0_300,13.791579957011171,0.8591470532293692,0.7643472655779172,0.3977145637959939
user11,img0_300,10.857520117887198,0.8391619647049207,0.7253307126444506,0.4074850311456861
user11,img1_300,2.552473688359622,0.9556816164010804,0.9009909909429686,0.8005112315202156
user11,img1_300,10.415023631204964,0.8933329284574895,0.8017125320814343,0.5152211436903653
user11,img1_300,13.288136205118075,0.8499173774652037,0.7536730053897955,0.40558673529798
user11,img2_300,4.855455124572125,0.9460187115749517,0.8905372332860445,0.7619373349504768
user11,img2_300,7.889072177960535,0.9186261909974666,0.8436330795407861,0.6359828947280319
user11,img2_300,3.0109431441683587,0.9496241066056736,0.887771616608263,0.7722106326751018
user11,img3_300,7.359322791157499,0.9207470441979982,0.8440003811416158,0.6428132395823066
user11,img3_300,4.798742841112522,0.9393519251163857,0.8709212411034399,0.7230813306231114
user11,img3_300,6.339476668518677,0.9288676464247864,0.8558585665270431,0.6779360646451109
user40,img0_300,28.50412931708343,0.7135631375007528,0.6968016807295853,0.1435116521863812
user40,img0_300,23.03389530466099,0.7619228077669481,0.7093321014970823,0.217784355841405
user40,img0_300,28.173021372870988,0.7171086353789552,0.6911072370556847,0.118249459329232
user40,img1_300,24.25968995927512,0.7569144246528671,0.6899835497182102,0.110041869184056
user40,img1_300,20.6070160953574,0.7934115857838219,0.7109039832761462,0.1947557767922868
user40,img1_300,25.75822877738626,0.7421069644549858,0.6903504241659868,0.1106865600585663
user40,img2_300,16.019268302811344,0.8367915995237254,0.745262120120771,0.3316121507831733
user40,img2_300,29.030703526835936,0.7085203430376933,0.6858923351136418,0.0968656340158539
user40,img2_300,28.06509491130268,0.7185179776708586,0.6887840246131051,0.1067714553902157
user40,img3_300,29.518515333593367,0.7043087741896261,0.6837284002483492,0.0839981187330857
user40,img3_300,23.8720627754641,0.7608137580026916,0.6932107256590476,0.1229268095594028
user40,img3_300,26.32826748008928,0.7364585034039435,0.6886641822456611,0.1034488569152945
user41,img0_300,3.5194268309835945,0.9188614450583438,0.7797071620008157,0.6865006867440454
user41,img0_300,1.2598065702151775,0.9294890067578097,0.8213221046355642,0.7134643198278994
user41,img0_300,2.6153149023814364,0.9243596371012012,0.8004492100327585,0.7013826942239368
user41,img1_300,0.8505165223777983,0.9355760858179528,0.8463922937551774,0.7259304121190445
user41,img1_300,2.313476588240017,0.9331709573464646,0.8474160993260507,0.7111629605583509
user41,img1_300,0.9787225447879186,0.9425473883911488,0.8638411680817341,0.7517396138887351
user41,img2_300,3.0821208325017637,0.9360744582013728,0.85782237838761,0.7198017950635752
user41,img2_300,3.2156254692700927,0.929721953465282,0.8439372247246129,0.6951986535651463
user41,img2_300,1.3555538517303245,0.9397539952875946,0.8592469986915232,0.7409326163703852
user41,img3_300,1.434680839077318,0.9483439562795036,0.8794294407440292,0.7726108090294942
user41,img3_300,6.98524018316562,0.8996648628879401,0.7057849958021615,0.6474003720277435
user41,img3_300,1.6548699056719076,0.9418355268313404,0.8513823476879402,0.7594715357090898
user42,img0_300,13.707978700146194,0.8582927016014619,0.7856652905913634,0.4714343424451273
user42,img0_300,22.48085465685599,0.7696528161274463,0.736823404254417,0.3113363926452248
user42,img0_300,13.4765577208203,0.8551967172906968,0.7786254980079681,0.4633857796770692
user42,img1_300,13.773881151853596,0.857028754750375,0.7719027121783657,0.4290092372880414
user42,img1_300,15.456943370636528,0.8436412674253906,0.7604637289886069,0.3807998674092049
user42,img1_300,17.62049315323432,0.8222157974165483,0.7496000498284587,0.3430331277191827
user42,img2_300,27.20321818880513,0.7122315796257231,0.6982881633016657,0.2088871779122528
user42,img2_300,18.54479082602028,0.7939880926407378,0.7438117624484313,0.3832494637407478
user42,img2_300,17.10446990741346,0.8236715919446383,0.7759586312231609,0.4421143024514938
user42,img3_300,11.251045983305184,0.872006952666805,0.783305824531359,0.4869786228857799
user42,img3_300,18.283907389220637,0.8163221331736874,0.745407390483927,0.3252130891279409
user42,img3_300,11.823958294484632,0.880171316069604,0.7869295385794169,0.4665260141809044
